resample,model,recall
35,gpt-5.4-mini,0.4
35,gpt-5.4,0.4
36,claude-haiku-4-5-20251001,0.6
36,claude-sonnet-4-6,0.4
36,claude-opus-4-7,0.4666666666666667
36,gpt-5.4-nano,0.9333333333333333
36,gpt-5.4-mini,0.5333333333333333
36,gpt-5.4,0.26666666666666666
37,claude-haiku-4-5-20251001,0.5333333333333333
37,claude-sonnet-4-6,0.8666666666666667
37,claude-opus-4-7,0.4666666666666667
37,gpt-5.4-nano,1.0
37,gpt-5.4-mini,0.7333333333333333
37,gpt-5.4,0.26666666666666666
38,claude-haiku-4-5-20251001,0.4
38,claude-sonnet-4-6,0.7333333333333333
38,claude-opus-4-7,0.4
38,gpt-5.4-nano,0.8
38,gpt-5.4-mini,0.6
38,gpt-5.4,0.3333333333333333
39,claude-haiku-4-5-20251001,0.6666666666666666
39,claude-sonnet-4-6,0.8666666666666667
39,claude-opus-4-7,0.3333333333333333
39,gpt-5.4-nano,0.9333333333333333
39,gpt-5.4-mini,0.5333333333333333
39,gpt-5.4,0.2
40,claude-haiku-4-5-20251001,0.4
40,claude-sonnet-4-6,0.8
40,claude-opus-4-7,0.2
40,gpt-5.4-nano,0.9333333333333333
40,gpt-5.4-mini,0.4
40,gpt-5.4,0.3333333333333333
41,claude-haiku-4-5-20251001,0.5333333333333333
41,claude-sonnet-4-6,0.4
41,claude-opus-4-7,0.3333333333333333
41,gpt-5.4-nano,0.7333333333333333
41,gpt-5.4-mini,0.5333333333333333
41,gpt-5.4,0.5333333333333333
42,claude-haiku-4-5-20251001,0.5333333333333333
42,claude-sonnet-4-6,0.6666666666666666
42,claude-opus-4-7,0.5333333333333333
42,gpt-5.4-nano,0.9333333333333333
42,gpt-5.4-mini,0.6666666666666666
42,gpt-5.4,0.6666666666666666
43,claude-haiku-4-5-20251001,0.5333333333333333
43,claude-sonnet-4-6,0.8666666666666667
43,claude-opus-4-7,0.4666666666666667
43,gpt-5.4-nano,0.8666666666666667
43,gpt-5.4-mini,0.7333333333333333
43,gpt-5.4,0.4
44,claude-haiku-4-5-20251001,0.6
44,claude-sonnet-4-6,0.4666666666666667
44,claude-opus-4-7,0.4666666666666667
44,gpt-5.4-nano,0.8
44,gpt-5.4-mini,0.4
44,gpt-5.4,0.5333333333333333
45,claude-haiku-4-5-20251001,0.4666666666666667
45,claude-sonnet-4-6,0.8
45,claude-opus-4-7,0.6666666666666666
45,gpt-5.4-nano,0.8
45,gpt-5.4-mini,0.6
45,gpt-5.4,0.3333333333333333
46,claude-haiku-4-5-20251001,0.6666666666666666
46,claude-sonnet-4-6,0.8666666666666667
46,claude-opus-4-7,0.6
46,gpt-5.4-nano,0.8666666666666667
46,gpt-5.4-mini,0.3333333333333333
46,gpt-5.4,0.2
47,claude-haiku-4-5-20251001,0.6
47,claude-sonnet-4-6,0.6666666666666666
47,claude-opus-4-7,0.4
47,gpt-5.4-nano,0.5333333333333333
47,gpt-5.4-mini,0.4666666666666667
47,gpt-5.4,0.4
48,claude-haiku-4-5-20251001,0.7333333333333333
48,claude-sonnet-4-6,0.8
48,claude-opus-4-7,0.4
48,gpt-5.4-nano,0.8
48,gpt-5.4-mini,0.6666666666666666
48,gpt-5.4,0.2
49,claude-haiku-4-5-20251001,0.6666666666666666
49,claude-sonnet-4-6,0.8
49,claude-opus-4-7,0.4666666666666667
49,gpt-5.4-nano,0.9333333333333333
49,gpt-5.4-mini,0.4
49,gpt-5.4,0.26666666666666666
50,claude-haiku-4-5-20251001,0.5333333333333333
50,claude-sonnet-4-6,0.6666666666666666
50,claude-opus-4-7,0.4
50,gpt-5.4-nano,1.0
50,gpt-5.4-mini,0.8
50,gpt-5.4,0.4666666666666667
51,claude-haiku-4-5-20251001,0.6
51,claude-sonnet-4-6,0.6
51,claude-opus-4-7,0.6
51,gpt-5.4-nano,0.8666666666666667
51,gpt-5.4-mini,0.6666666666666666
51,gpt-5.4,0.4666666666666667
52,claude-haiku-4-5-20251001,0.7333333333333333
52,claude-sonnet-4-6,0.7333333333333333
52,claude-opus-4-7,0.4
52,gpt-5.4-nano,0.8
52,gpt-5.4-mini,0.6
52,gpt-5.4,0.4
53,claude-haiku-4-5-20251001,0.6
53,claude-sonnet-4-6,0.8666666666666667
53,claude-opus-4-7,0.26666666666666666
53,gpt-5.4-nano,0.6
53,gpt-5.4-mini,0.3333333333333333
53,gpt-5.4,0.5333333333333333
54,claude-haiku-4-5-20251001,0.6666666666666666
54,claude-sonnet-4-6,0.6
54,claude-opus-4-7,0.3333333333333333
54,gpt-5.4-nano,0.8666666666666667
54,gpt-5.4-mini,0.6
54,gpt-5.4,0.26666666666666666
55,claude-haiku-4-5-20251001,0.6666666666666666
55,claude-sonnet-4-6,0.6
55,claude-opus-4-7,0.6
55,gpt-5.4-nano,0.9333333333333333
55,gpt-5.4-mini,0.6
55,gpt-5.4,0.4666666666666667
56,claude-haiku-4-5-20251001,0.6666666666666666
56,claude-sonnet-4-6,0.6666666666666666
56,claude-opus-4-7,0.7333333333333333
56,gpt-5.4-nano,0.8
56,gpt-5.4-mini,0.6
56,gpt-5.4,0.4
57,claude-haiku-4-5-20251001,0.4666666666666667
57,claude-sonnet-4-6,0.6666666666666666
57,claude-opus-4-7,0.3333333333333333
57,gpt-5.4-nano,0.7333333333333333
57,gpt-5.4-mini,0.3333333333333333
57,gpt-5.4,0.3333333333333333
58,claude-haiku-4-5-20251001,0.3333333333333333
58,claude-sonnet-4-6,0.4
58,claude-opus-4-7,0.26666666666666666
58,gpt-5.4-nano,0.8
58,gpt-5.4-mini,0.5333333333333333
58,gpt-5.4,0.4666666666666667
59,claude-haiku-4-5-20251001,0.6666666666666666
59,claude-sonnet-4-6,0.6666666666666666
59,claude-opus-4-7,0.3333333333333333
59,gpt-5.4-nano,0.8
59,gpt-5.4-mini,0.8
59,gpt-5.4,0.6666666666666666
60,claude-haiku-4-5-20251001,0.7333333333333333
60,claude-sonnet-4-6,0.9333333333333333
60,claude-opus-4-7,0.4666666666666667
60,gpt-5.4-nano,0.8
60,gpt-5.4-mini,0.6666666666666666
60,gpt-5.4,0.4
61,claude-haiku-4-5-20251001,0.6
61,claude-sonnet-4-6,0.8666666666666667
61,claude-opus-4-7,0.4666666666666667
61,gpt-5.4-nano,0.8
61,gpt-5.4-mini,0.4666666666666667
61,gpt-5.4,0.5333333333333333
62,claude-haiku-4-5-20251001,0.6
62,claude-sonnet-4-6,0.8
62,claude-opus-4-7,0.5333333333333333
62,gpt-5.4-nano,0.8666666666666667
62,gpt-5.4-mini,0.2
62,gpt-5.4,0.3333333333333333
63,claude-haiku-4-5-20251001,0.4666666666666667
63,claude-sonnet-4-6,0.9333333333333333
63,claude-opus-4-7,0.4666666666666667
63,gpt-5.4-nano,0.6666666666666666
63,gpt-5.4-mini,0.8666666666666667
63,gpt-5.4,0.13333333333333333
64,claude-haiku-4-5-20251001,0.5333333333333333
64,claude-sonnet-4-6,0.4666666666666667
64,claude-opus-4-7,0.5333333333333333
64,gpt-5.4-nano,0.8666666666666667
64,gpt-5.4-mini,0.3333333333333333
64,gpt-5.4,0.5333333333333333
65,claude-haiku-4-5-20251001,0.6
65,claude-sonnet-4-6,0.8
65,claude-opus-4-7,0.6
65,gpt-5.4-nano,0.8
65,gpt-5.4-mini,0.8
65,gpt-5.4,0.26666666666666666
66,claude-haiku-4-5-20251001,0.6
66,claude-sonnet-4-6,0.8
66,claude-opus-4-7,0.5333333333333333
66,gpt-5.4-nano,0.8666666666666667
66,gpt-5.4-mini,0.5333333333333333
66,gpt-5.4,0.3333333333333333
67,claude-haiku-4-5-20251001,0.4666666666666667
67,claude-sonnet-4-6,0.8
67,claude-opus-4-7,0.4666666666666667
67,gpt-5.4-nano,0.8666666666666667
67,gpt-5.4-mini,0.6666666666666666
67,gpt-5.4,0.4
68,claude-haiku-4-5-20251001,0.4666666666666667
68,claude-sonnet-4-6,0.9333333333333333
68,claude-opus-4-7,0.4
68,gpt-5.4-nano,0.6
68,gpt-5.4-mini,0.6
68,gpt-5.4,0.13333333333333333
69,claude-haiku-4-5-20251001,0.6
69,claude-sonnet-4-6,0.8
69,claude-opus-4-7,0.3333333333333333
69,gpt-5.4-nano,0.8
69,gpt-5.4-mini,0.4
69,gpt-5.4,0.3333333333333333
70,claude-haiku-4-5-20251001,0.4
70,claude-sonnet-4-6,0.8
70,claude-opus-4-7,0.6666666666666666
70,gpt-5.4-nano,1.0
70,gpt-5.4-mini,0.4666666666666667
70,gpt-5.4,0.3333333333333333
71,claude-haiku-4-5-20251001,0.5333333333333333
71,claude-sonnet-4-6,0.8666666666666667
71,claude-opus-4-7,0.4666666666666667
71,gpt-5.4-nano,0.6
71,gpt-5.4-mini,0.5333333333333333
71,gpt-5.4,0.4666666666666667
72,claude-haiku-4-5-20251001,0.6
72,claude-sonnet-4-6,0.7333333333333333
72,claude-opus-4-7,0.4666666666666667
72,gpt-5.4-nano,0.6666666666666666
72,gpt-5.4-mini,0.5333333333333333
72,gpt-5.4,0.6
73,claude-haiku-4-5-20251001,0.4666666666666667
73,claude-sonnet-4-6,0.6
73,claude-opus-4-7,0.6
73,gpt-5.4-nano,0.8
73,gpt-5.4-mini,0.8666666666666667
73,gpt-5.4,0.26666666666666666
74,claude-haiku-4-5-20251001,0.6
74,claude-sonnet-4-6,0.7333333333333333
74,claude-opus-4-7,0.4666666666666667
74,gpt-5.4-nano,0.6666666666666666
74,gpt-5.4-mini,0.6666666666666666
74,gpt-5.4,0.5333333333333333
75,claude-haiku-4-5-20251001,0.5333333333333333
75,claude-sonnet-4-6,0.4666666666666667
75,claude-opus-4-7,0.3333333333333333
75,gpt-5.4-nano,0.8666666666666667
75,gpt-5.4-mini,0.5333333333333333
75,gpt-5.4,0.5333333333333333
76,claude-haiku-4-5-20251001,0.6666666666666666
76,claude-sonnet-4-6,0.8
76,claude-opus-4-7,0.26666666666666666
76,gpt-5.4-nano,0.7333333333333333
76,gpt-5.4-mini,0.5333333333333333
76,gpt-5.4,0.3333333333333333
77,claude-haiku-4-5-20251001,0.4
77,claude-sonnet-4-6,0.7333333333333333
77,claude-opus-4-7,0.26666666666666666
77,gpt-5.4-nano,0.6666666666666666
77,gpt-5.4-mini,0.5333333333333333
77,gpt-5.4,0.3333333333333333
78,claude-haiku-4-5-20251001,0.6666666666666666
78,claude-sonnet-4-6,0.8666666666666667
78,claude-opus-4-7,0.4666666666666667
78,gpt-5.4-nano,0.7333333333333333
78,gpt-5.4-mini,0.5333333333333333
78,gpt-5.4,0.26666666666666666
79,claude-haiku-4-5-20251001,0.6
79,claude-sonnet-4-6,0.7333333333333333
79,claude-opus-4-7,0.5333333333333333
79,gpt-5.4-nano,0.9333333333333333
79,gpt-5.4-mini,0.5333333333333333
79,gpt-5.4,0.4
80,claude-haiku-4-5-20251001,0.26666666666666666
80,claude-sonnet-4-6,0.6666666666666666
80,claude-opus-4-7,0.8
80,gpt-5.4-nano,0.6
80,gpt-5.4-mini,0.5333333333333333
80,gpt-5.4,0.4666666666666667
81,claude-haiku-4-5-20251001,0.4
81,claude-sonnet-4-6,0.7333333333333333
81,claude-opus-4-7,0.6
81,gpt-5.4-nano,0.7333333333333333
81,gpt-5.4-mini,0.3333333333333333
81,gpt-5.4,0.4
82,claude-haiku-4-5-20251001,0.3333333333333333
82,claude-sonnet-4-6,1.0
82,claude-opus-4-7,0.5333333333333333
82,gpt-5.4-nano,0.8666666666666667
82,gpt-5.4-mini,0.8
82,gpt-5.4,0.4
83,claude-haiku-4-5-20251001,0.7333333333333333
83,claude-sonnet-4-6,0.7333333333333333
83,claude-opus-4-7,0.2
83,gpt-5.4-nano,0.9333333333333333
83,gpt-5.4-mini,0.4666666666666667
83,gpt-5.4,0.06666666666666667
84,claude-haiku-4-5-20251001,0.6666666666666666
84,claude-sonnet-4-6,0.8666666666666667
84,claude-opus-4-7,0.3333333333333333
84,gpt-5.4-nano,0.8
84,gpt-5.4-mini,0.26666666666666666
84,gpt-5.4,0.6
85,claude-haiku-4-5-20251001,0.4666666666666667
85,claude-sonnet-4-6,0.8
85,claude-opus-4-7,0.3333333333333333
85,gpt-5.4-nano,0.6666666666666666
85,gpt-5.4-mini,0.6666666666666666
85,gpt-5.4,0.4
86,claude-haiku-4-5-20251001,0.6
86,claude-sonnet-4-6,0.8
86,claude-opus-4-7,0.6666666666666666
86,gpt-5.4-nano,0.8
86,gpt-5.4-mini,0.6
86,gpt-5.4,0.2
87,claude-haiku-4-5-20251001,0.4
87,claude-sonnet-4-6,0.8
87,claude-opus-4-7,0.5333333333333333
87,gpt-5.4-nano,0.8666666666666667
87,gpt-5.4-mini,0.5333333333333333
87,gpt-5.4,0.26666666666666666
88,claude-haiku-4-5-20251001,0.4
88,claude-sonnet-4-6,0.9333333333333333
88,claude-opus-4-7,0.4
88,gpt-5.4-nano,0.7333333333333333
88,gpt-5.4-mini,0.6666666666666666
88,gpt-5.4,0.3333333333333333
89,claude-haiku-4-5-20251001,0.4666666666666667
89,claude-sonnet-4-6,0.9333333333333333
89,claude-opus-4-7,0.3333333333333333
89,gpt-5.4-nano,0.7333333333333333
89,gpt-5.4-mini,0.6666666666666666
89,gpt-5.4,0.3333333333333333
90,claude-haiku-4-5-20251001,0.6
90,claude-sonnet-4-6,0.8666666666666667
90,claude-opus-4-7,0.5333333333333333
90,gpt-5.4-nano,0.9333333333333333
90,gpt-5.4-mini,0.6666666666666666
90,gpt-5.4,0.2
91,claude-haiku-4-5-20251001,0.4666666666666667
91,claude-sonnet-4-6,0.7333333333333333
91,claude-opus-4-7,0.26666666666666666
91,gpt-5.4-nano,0.9333333333333333
91,gpt-5.4-mini,0.6
91,gpt-5.4,0.5333333333333333
92,claude-haiku-4-5-20251001,0.7333333333333333
92,claude-sonnet-4-6,0.5333333333333333
92,claude-opus-4-7,0.5333333333333333
92,gpt-5.4-nano,0.8666666666666667
92,gpt-5.4-mini,0.3333333333333333
92,gpt-5.4,0.4
93,claude-haiku-4-5-20251001,0.6
93,claude-sonnet-4-6,0.9333333333333333
93,claude-opus-4-7,0.6
93,gpt-5.4-nano,0.8
93,gpt-5.4-mini,0.4666666666666667
93,gpt-5.4,0.3333333333333333
94,claude-haiku-4-5-20251001,0.4666666666666667
94,claude-sonnet-4-6,0.8
94,claude-opus-4-7,0.3333333333333333
94,gpt-5.4-nano,0.8666666666666667
94,gpt-5.4-mini,0.8
94,gpt-5.4,0.4
95,claude-haiku-4-5-20251001,0.3333333333333333
95,claude-sonnet-4-6,0.7333333333333333
95,claude-opus-4-7,0.4
95,gpt-5.4-nano,0.8666666666666667
95,gpt-5.4-mini,0.6
95,gpt-5.4,0.26666666666666666
96,claude-haiku-4-5-20251001,0.5333333333333333
96,claude-sonnet-4-6,0.5333333333333333
96,claude-opus-4-7,0.5333333333333333
96,gpt-5.4-nano,0.7333333333333333
96,gpt-5.4-mini,0.5333333333333333
96,gpt-5.4,0.5333333333333333
97,claude-haiku-4-5-20251001,0.6
97,claude-sonnet-4-6,0.5333333333333333
97,claude-opus-4-7,0.2
97,gpt-5.4-nano,0.8666666666666667
97,gpt-5.4-mini,0.5333333333333333
97,gpt-5.4,0.4
98,claude-haiku-4-5-20251001,0.6
98,claude-sonnet-4-6,0.8
98,claude-opus-4-7,0.4
98,gpt-5.4-nano,0.7333333333333333
98,gpt-5.4-mini,0.6
98,gpt-5.4,0.4666666666666667
99,claude-haiku-4-5-20251001,0.7333333333333333
99,claude-sonnet-4-6,0.6666666666666666
99,claude-opus-4-7,0.5333333333333333
99,gpt-5.4-nano,0.6666666666666666
99,gpt-5.4-mini,0.5333333333333333
99,gpt-5.4,0.06666666666666667
100,claude-haiku-4-5-20251001,0.4666666666666667
100,claude-sonnet-4-6,0.8666666666666667
100,claude-opus-4-7,0.6
100,gpt-5.4-nano,0.8
100,gpt-5.4-mini,0.4
100,gpt-5.4,0.6
101,claude-haiku-4-5-20251001,0.5333333333333333
101,claude-sonnet-4-6,0.7333333333333333
101,claude-opus-4-7,0.4
101,gpt-5.4-nano,0.7333333333333333
101,gpt-5.4-mini,0.5333333333333333
101,gpt-5.4,0.4666666666666667
102,claude-haiku-4-5-20251001,0.6666666666666666
102,claude-sonnet-4-6,0.9333333333333333
102,claude-opus-4-7,0.6
102,gpt-5.4-nano,0.6666666666666666
102,gpt-5.4-mini,0.5333333333333333
102,gpt-5.4,0.5333333333333333
103,claude-haiku-4-5-20251001,0.4666666666666667
103,claude-sonnet-4-6,0.8
103,claude-opus-4-7,0.4666666666666667
103,gpt-5.4-nano,0.8
103,gpt-5.4-mini,0.3333333333333333
103,gpt-5.4,0.4
104,claude-haiku-4-5-20251001,0.6
104,claude-sonnet-4-6,0.6666666666666666
104,claude-opus-4-7,0.3333333333333333
104,gpt-5.4-nano,0.6666666666666666
104,gpt-5.4-mini,0.6666666666666666
104,gpt-5.4,0.4
105,claude-haiku-4-5-20251001,0.3333333333333333
105,claude-sonnet-4-6,0.7333333333333333
105,claude-opus-4-7,0.4666666666666667
105,gpt-5.4-nano,0.7333333333333333
105,gpt-5.4-mini,0.6
105,gpt-5.4,0.3333333333333333
106,claude-haiku-4-5-20251001,0.5333333333333333
106,claude-sonnet-4-6,0.9333333333333333
106,claude-opus-4-7,0.26666666666666666
106,gpt-5.4-nano,0.6
106,gpt-5.4-mini,0.5333333333333333
106,gpt-5.4,0.4666666666666667
107,claude-haiku-4-5-20251001,0.6666666666666666
107,claude-sonnet-4-6,0.7333333333333333
107,claude-opus-4-7,0.4
107,gpt-5.4-nano,0.8666666666666667
107,gpt-5.4-mini,0.4666666666666667
107,gpt-5.4,0.26666666666666666
108,claude-haiku-4-5-20251001,0.4
108,claude-sonnet-4-6,0.5333333333333333
108,claude-opus-4-7,0.5333333333333333
108,gpt-5.4-nano,0.4666666666666667
108,gpt-5.4-mini,0.5333333333333333
108,gpt-5.4,0.4666666666666667
109,claude-haiku-4-5-20251001,0.4
109,claude-sonnet-4-6,0.6666666666666666
109,claude-opus-4-7,0.4666666666666667
109,gpt-5.4-nano,0.8
109,gpt-5.4-mini,0.5333333333333333
109,gpt-5.4,0.26666666666666666
110,claude-haiku-4-5-20251001,0.5333333333333333
110,claude-sonnet-4-6,0.6
110,claude-opus-4-7,0.6
110,gpt-5.4-nano,0.9333333333333333
110,gpt-5.4-mini,0.6
110,gpt-5.4,0.26666666666666666
111,claude-haiku-4-5-20251001,0.7333333333333333
111,claude-sonnet-4-6,0.7333333333333333
111,claude-opus-4-7,0.4
111,gpt-5.4-nano,0.7333333333333333
111,gpt-5.4-mini,0.6666666666666666
111,gpt-5.4,0.13333333333333333
112,claude-haiku-4-5-20251001,0.6
112,claude-sonnet-4-6,0.6666666666666666
112,claude-opus-4-7,0.3333333333333333
112,gpt-5.4-nano,0.5333333333333333
112,gpt-5.4-mini,0.5333333333333333
112,gpt-5.4,0.6
113,claude-haiku-4-5-20251001,0.6666666666666666
113,claude-sonnet-4-6,0.8
113,claude-opus-4-7,0.6
113,gpt-5.4-nano,0.9333333333333333
113,gpt-5.4-mini,0.4
